codi_centre,denominacio,tipus_centre,naturalesa,titularitat,num_ensenyaments,nom_municipi,nom_comarca,provincia,codi_ine,codi_comarca,adreca,codi_postal,latitud,longitud,te_infantil_1c,te_infantil_2c,te_primaria,te_eso,te_batxillerat,te_fp_mitja,te_fp_superior,te_adults,te_especial,any_construccio,antiguitat_anys,superficie_m2,num_alumnes,tram_mida,estat_conservacio
08000013,Escola Francesc Platón i Sartí,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Abrera,Baix Llobregat,Barcelona,080018,11,"c. Salvador Espriu, 3",08630,41.51508,1.900965,False,True,True,False,False,False,False,False,False,,,,,,
08000049,Escola Fabra,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Alella,Maresme,Barcelona,080039,21,"av. del Bosquet, 1",08328,41.4944,2.297972,False,True,True,False,False,False,False,False,False,,,,,,
08000086,Escola La Forja - ZER Alt Lluçanès,ESCOLA,Públic,Departament d'Educació i Formació Professional,3,Alpens,Osona,Girona,080044,24,"ctra. Lluçanesa, 8",08589,42.12045,2.100956,True,True,True,False,False,False,False,False,False,,,,,,
08000098,Escola Bertí,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,L'Ametlla del Vallès,Vallès Oriental,Barcelona,080057,41,"Antic camí de Caldes, s/n",08480,41.66667,2.258861,False,True,True,False,False,False,False,False,False,,,,,,
08000131,La Presentació,INSTITUT,Privat,Ordes i Congregacions Catòlics,4,Arenys de Mar,Maresme,Barcelona,080060,21,"c. Pompeu Fabra, 2",08350,41.58566,2.547246,False,True,True,True,True,False,False,False,False,,,,,,
08000153,Escola Joan Maragall,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Arenys de Mar,Maresme,Barcelona,080060,21,"Rial de Sa Clavella, s/n",08350,41.58239,2.54587,False,True,True,False,False,False,False,False,False,,,,,,
08000165,Escola Sant Martí,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Arenys de Munt,Maresme,Barcelona,080076,21,"c. Generalitat, 2",08358,41.60909,2.539037,False,True,True,False,False,False,False,False,False,,,,,,
08000189,Escola Bernat de Riudemeia,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Argentona,Maresme,Barcelona,080095,21,"c. Bernat de Riudemeia, 27",08310,41.55302,2.401413,False,True,True,False,False,False,False,False,False,,,,,,
08000220,Vedruna Artés,INSTITUT,Privat,Fundacions,5,Artés,Bages,Barcelona,080109,07,"c. Carme, 16",08271,41.79786,1.952682,False,True,True,True,False,True,True,False,False,,,,,,
08000244,Escola Doctor Ferrer,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Artés,Bages,Barcelona,080109,07,"c. Barcelona, 23",08271,41.79567,1.951707,False,True,True,False,False,False,False,False,False,,,,,,
08000271,Escola Santa Maria d'Avià,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Avià,Berguedà,Lleida,080116,14,"c. Escoles, s/n",08610,42.07673,1.819037,False,True,True,False,False,False,False,False,False,,,,,,
08000347,Escola d'Avinyonet del Penedès,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Avinyonet del Penedès,Alt Penedès,Barcelona,080137,03,"pg. de la Grava, s/n",08793,41.35989,1.782859,False,True,True,False,False,False,False,False,False,,,,,,
08000359,Escola La Muntanya,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Aiguafreda,Vallès Oriental,Barcelona,080142,41,"c. Núria, s/n",08591,41.7704,2.250428,False,True,True,False,False,False,False,False,False,,,,,,
08000384,Escola Lola Anglada,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Badalona,Barcelonès,Barcelona,080155,13,"c. Riera de Canyadó, 53",08911,41.45719,2.254962,False,True,True,False,False,False,False,False,False,,,,,,
08000396,Escola Ventós i Mir,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Badalona,Barcelonès,Barcelona,080155,13,"ptge. Ventós i Mir, 29-31",08912,41.44462,2.245706,False,True,True,False,False,False,False,False,False,,,,,,
08000402,Escola Feliu i Vegués,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Badalona,Barcelonès,Barcelona,080155,13,"c. Sírius, 2A",08914,41.44487,2.22041,False,True,True,False,False,False,False,False,False,,,,,,
08000499,Sant Domènec Savio,INSTITUT,Privat,Ordes i Congregacions Catòlics,4,Badalona,Barcelonès,Barcelona,080155,13,"c. Alfons XII, 111",08912,41.4436,2.239351,False,True,True,True,False,True,False,False,False,,,,,,
08000517,Sant Andreu,INSTITUT,Privat,Ordes i Congregacions Catòlics,4,Badalona,Barcelonès,Barcelona,080155,13,"c. Arnús, 16-18",08911,41.44885,2.246547,False,True,True,True,True,False,False,False,False,,,,,,
08000608,Montserrat,ESCOLA,Privat,Societats Mercantils,3,Badalona,Barcelonès,Barcelona,080155,13,"c. Carles I, 9-13",08917,41.45165,2.235749,True,True,True,False,False,False,False,False,False,,,,,,
08000700,Maristes Champagnat,INSTITUT,Privat,Fundacions,5,Badalona,Barcelonès,Barcelona,080155,13,"c. Dos de Maig, 67",08912,41.44779,2.244565,False,True,True,True,True,True,False,False,False,,,,,,
08000761,Badalonès,ADULTS,Privat,Societats Mercantils,7,Badalona,Barcelonès,Barcelona,080155,13,"c. Arbres, 17",08912,41.44741,2.246084,False,True,True,True,True,True,True,True,False,,,,,,
08000827,Jesús Maria Badalona,INSTITUT,Privat,Ordes i Congregacions Catòlics,3,Badalona,Barcelonès,Barcelona,080155,13,"c. Lepant, 3",08917,41.44905,2.223411,False,True,True,True,False,False,False,False,False,,,,,,
08000864,Cultural,INSTITUT,Privat,Societats Mercantils,4,Badalona,Barcelonès,Barcelona,080155,13,"ptge. Pi i Gibert, 29-31",08913,41.43651,2.2206,True,True,True,True,False,False,False,False,False,,,,,,
08000918,Cultural,INSTITUT,Privat,Societats Mercantils,6,Badalona,Barcelonès,Barcelona,080155,13,"pl. Marquès de Barberà, 13",08911,41.45234,2.246821,False,True,True,True,True,True,True,False,False,,,,,,
08000921,Arrels-Esperança,INSTITUT,Privat,Societats Mercantils,4,Badalona,Barcelonès,Barcelona,080155,13,"c. Provença, 7",08914,41.43931,2.22398,True,True,True,True,False,False,False,False,False,,,,,,
08000967,Betúlia,INSTITUT,Privat,Societats Mercantils,3,Badalona,Barcelonès,Barcelona,080155,13,"c. Conquesta, 57-65",08912,41.44503,2.243939,False,True,True,True,False,False,False,False,False,,,,,,
08000979,López Torrejón,ESCOLA,Privat,Societats Mercantils,2,Badalona,Barcelonès,Barcelona,080155,13,"c. Roger de Flor, 115-117",08912,41.44388,2.240801,False,True,True,False,False,False,False,False,False,,,,,,
08001157,Minguella,INSTITUT,Privat,Societats Mercantils,3,Badalona,Barcelonès,Barcelona,080155,13,"c. Sta.Madrona,75 i Sta.Maria,30 i 34-36",08911,41.45083,2.254424,False,True,True,True,False,False,False,False,False,,,,,,
08001391,Escola Planas i Casals,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Badalona,Barcelonès,Barcelona,080155,13,"c. Muntaner, 2-18",08917,41.45892,2.237766,False,True,True,False,False,False,False,False,False,,,,,,
