id_incidencia,uuid_origen,codi_centre,codi_tipus,nif_empresa,id_data_obertura,id_data_restabliment,estat,canal_entrada,codi_sla,data_obertura,data_assignacio,data_restabliment,data_resolucio_definitiva,data_limit_sla,num_incidencies,cost_estimat,cost_real,cost_ma_obra,cost_materials,num_actuacions,hores_treball,hores_fins_restabliment,hores_fins_definitiva,sla_hores,requereix_seguretat,interromp_activitat,compleix_sla,ha_calgut_reparacio_posterior,esta_tancada,compleix_sla_int,esta_tancada_int
2,217216c5-db0b-88a6-8b84-0aff37bf9152,08000578,CLI-003,B60123456,20240223,20240224.0,TANCADA,INSPECCIO,URGENT,2024-02-23 13:49:00+00:00,2024-02-23 14:23:23.717402+00:00,2024-02-24 08:22:28.448083+00:00,2024-04-13 13:37:03.142949+00:00,2024-02-24 13:49:00+00:00,1,431.76,582.88,338.07,244.81,2,6.36,18.557902245277777,1199.800873041389,24,False,True,True,True,True,1.0,1
4,61531d3b-7daf-6b09-a597-03c2851fe861,08000578,PAL-002,B60123456,20250613,20250614.0,RESOLTA,SENSOR,NORMAL,2025-06-13 17:47:00+00:00,2025-06-13 23:30:59.064446+00:00,2025-06-14 16:34:37.324162+00:00,2025-06-14 16:34:37.324162+00:00,2025-06-18 17:47:00+00:00,1,718.84,718.84,416.93,301.91,1,1.21,22.793701156111112,22.793701156111112,120,False,False,True,False,True,1.0,1
6,2612d2b0-040a-34b5-3a7f-f3aa69098a8c,08000578,ELE-002,B60123456,20250523,20250531.0,TANCADA,WEB,NORMAL,2025-05-23 14:21:00+00:00,2025-05-23 17:36:24.220389+00:00,2025-05-31 10:59:33.504012+00:00,2025-05-31 10:59:33.504012+00:00,2025-05-28 14:21:00+00:00,1,99.04,99.04,57.44,41.6,1,3.48,188.64264000333333,188.64264000333333,120,False,False,False,False,True,0.0,1
7,f6094cc9-0d6d-d0cf-41ca-aaffd1e98876,08000578,FON-003,B60123456,20231117,20231125.0,RESOLTA,SENSOR,NORMAL,2023-11-17 11:59:00+00:00,2023-11-17 16:27:40.381446+00:00,2023-11-25 08:49:26.474632+00:00,2023-11-25 08:49:26.474632+00:00,2023-11-22 11:59:00+00:00,1,112.07,112.07,65.0,47.07,1,1.42,188.84068739777777,188.84068739777777,120,False,False,False,False,True,0.0,1
8,2a120fe4-5a6f-f769-4d9a-c9cc5f4bf19a,08000578,CLI-003,B60123456,20251002,20251005.0,TANCADA,SENSOR,NORMAL,2025-10-02 11:07:00+00:00,2025-10-02 16:34:43.626193+00:00,2025-10-05 01:55:20.728605+00:00,2025-10-05 01:55:20.728605+00:00,2025-10-07 11:07:00+00:00,1,375.87,375.87,218.0,157.87,1,6.56,62.805757945833335,62.805757945833335,120,False,False,True,False,True,1.0,1
9,4b77e5a4-e899-d3ad-d5cd-01829b2d6fb7,08000578,PAL-002,B60123456,20250402,20250402.0,TANCADA,WEB,NORMAL,2025-04-02 14:30:00+00:00,2025-04-02 19:04:43.400518+00:00,2025-04-02 22:56:37.185241+00:00,2025-04-02 22:56:37.185241+00:00,2025-04-07 14:30:00+00:00,1,453.05,453.05,262.77,190.28,1,8.07,8.443662566944445,8.443662566944445,120,False,False,True,False,True,1.0,1
10,d5da017f-16cd-8d28-a767-3e793a28cdaf,08000578,ELE-003,B60123456,20251226,20251227.0,TANCADA,TELEFON,URGENT,2025-12-26 09:18:00+00:00,2025-12-26 14:24:14.456303+00:00,2025-12-27 02:18:23.302279+00:00,2025-12-27 02:18:23.302279+00:00,2025-12-27 09:18:00+00:00,1,1227.26,1227.26,711.81,515.45,1,5.59,17.006472855277778,17.006472855277778,24,True,True,True,False,True,1.0,1
11,f2ddfce2-2f9f-3a83-7418-71e2f62f2e79,08000578,CLI-002,B60123456,20250214,20250217.0,TANCADA,TELEFON,NORMAL,2025-02-14 13:47:00+00:00,2025-02-14 17:10:12.886606+00:00,2025-02-17 20:32:01.260381+00:00,2025-02-17 20:32:01.260381+00:00,2025-02-19 13:47:00+00:00,1,82.87,82.87,48.06,34.81,1,1.48,78.75035010583333,78.75035010583333,120,False,False,True,False,True,1.0,1
13,b849b0b1-01db-03bc-6e63-cafdff724bac,08000578,PAL-003,B60123456,20230921,20230922.0,TANCADA,TELEFON,URGENT,2023-09-21 18:15:00+00:00,2023-09-21 21:39:56.913536+00:00,2023-09-22 07:03:55.895209+00:00,2023-10-26 13:54:36.760076+00:00,2023-09-22 18:15:00+00:00,1,314.79,424.96,246.48,178.48,2,3.78,12.815526446944444,835.6602111322222,24,True,False,True,True,True,1.0,1
16,512bebf5-2f2d-a60f-f674-b834ff8b4fd5,08000578,CLI-003,B60123456,20260604,20260608.0,RESOLTA,TELEFON,NORMAL,2026-06-04 17:35:00+00:00,2026-06-04 18:27:34.692471+00:00,2026-06-08 15:03:52.237846+00:00,2026-06-08 15:03:52.237846+00:00,2026-06-09 17:35:00+00:00,1,532.8,532.8,309.02,223.78,1,8.86,93.48117717944444,93.48117717944444,120,False,False,True,False,True,1.0,1
