id_certificacio,id_projecte,codi_projecte,codi_centre,id_data_certificacio,denominacio_projecte,tipologia,estat_projecte,any_inici,any_previst_fi,num_certificacio,data_certificacio,exercici,import_certificat,import_previst,import_previst_prorratejat,num_certificacions
1,1,PI-2026-0000,08052608,20261121,Retirada amiant a centre 08052608,RETIRADA_AMIANT,EN_EXECUCIO,2026,2029,1,2026-11-21,2026,56967.11,197077.61,65692.54,1
2,1,PI-2026-0000,08052608,20260828,Retirada amiant a centre 08052608,RETIRADA_AMIANT,EN_EXECUCIO,2026,2029,2,2026-08-28,2026,14422.96,197077.61,65692.54,1
3,1,PI-2026-0000,08052608,20280328,Retirada amiant a centre 08052608,RETIRADA_AMIANT,EN_EXECUCIO,2026,2029,3,2028-03-28,2028,36324.33,197077.61,65692.54,1
4,2,PI-2023-0001,08048061,20241203,Reforma a centre 08048061,REFORMA,FINALITZAT,2023,2024,1,2024-12-03,2024,19912.7,163115.99,27186.0,1
5,2,PI-2023-0001,08048061,20230715,Reforma a centre 08048061,REFORMA,FINALITZAT,2023,2024,2,2023-07-15,2023,14974.25,163115.99,27186.0,1
6,2,PI-2023-0001,08048061,20240220,Reforma a centre 08048061,REFORMA,FINALITZAT,2023,2024,3,2024-02-20,2024,1453.27,163115.99,27186.0,1
7,2,PI-2023-0001,08048061,20231215,Reforma a centre 08048061,REFORMA,FINALITZAT,2023,2024,4,2023-12-15,2023,19298.23,163115.99,27186.0,1
8,2,PI-2023-0001,08048061,20230920,Reforma a centre 08048061,REFORMA,FINALITZAT,2023,2024,5,2023-09-20,2023,27370.12,163115.99,27186.0,1
9,2,PI-2023-0001,08048061,20240924,Reforma a centre 08048061,REFORMA,FINALITZAT,2023,2024,6,2024-09-24,2024,80639.6,163115.99,27186.0,1
10,3,PI-2024-0002,08072899,20250525,Eficiencia energetica a centre 08072899,EFICIENCIA_ENERGETICA,EN_EXECUCIO,2024,2026,1,2025-05-25,2025,786.2,25000.0,8333.33,1
11,3,PI-2024-0002,08072899,20260324,Eficiencia energetica a centre 08072899,EFICIENCIA_ENERGETICA,EN_EXECUCIO,2024,2026,2,2026-03-24,2026,1971.77,25000.0,8333.33,1
12,3,PI-2024-0002,08072899,20240208,Eficiencia energetica a centre 08072899,EFICIENCIA_ENERGETICA,EN_EXECUCIO,2024,2026,3,2024-02-08,2024,5188.76,25000.0,8333.33,1
13,4,PI-2023-0003,08054991,20240514,Accessibilitat a centre 08054991,ACCESSIBILITAT,EN_EXECUCIO,2023,2024,1,2024-05-14,2024,60872.17,91126.05,91126.05,1
14,6,PI-2023-0005,08062389,20250105,Reforma a centre 08062389,REFORMA,EN_EXECUCIO,2023,2026,1,2025-01-05,2025,5367.39,137198.12,45732.71,1
15,6,PI-2023-0005,08062389,20240502,Reforma a centre 08062389,REFORMA,EN_EXECUCIO,2023,2026,2,2024-05-02,2024,88962.8,137198.12,45732.71,1
16,6,PI-2023-0005,08062389,20250421,Reforma a centre 08062389,REFORMA,EN_EXECUCIO,2023,2026,3,2025-04-21,2025,781.67,137198.12,45732.71,1
17,7,PI-2024-0006,08014401,20241001,Accessibilitat a centre 08014401,ACCESSIBILITAT,FINALITZAT,2024,2025,1,2024-10-01,2024,10963.53,46424.81,11606.2,1
18,7,PI-2024-0006,08014401,20251129,Accessibilitat a centre 08014401,ACCESSIBILITAT,FINALITZAT,2024,2025,2,2025-11-29,2025,12646.94,46424.81,11606.2,1
19,7,PI-2024-0006,08014401,20240906,Accessibilitat a centre 08014401,ACCESSIBILITAT,FINALITZAT,2024,2025,3,2024-09-06,2024,19305.29,46424.81,11606.2,1
20,7,PI-2024-0006,08014401,20250706,Accessibilitat a centre 08014401,ACCESSIBILITAT,FINALITZAT,2024,2025,4,2025-07-06,2025,3929.62,46424.81,11606.2,1
21,9,PI-2023-0008,08001145,20240206,Accessibilitat a centre 08001145,ACCESSIBILITAT,FINALITZAT,2023,2024,1,2024-02-06,2024,3847.57,60001.74,10000.29,1
22,9,PI-2023-0008,08001145,20241216,Accessibilitat a centre 08001145,ACCESSIBILITAT,FINALITZAT,2023,2024,2,2024-12-16,2024,350.57,60001.74,10000.29,1
23,9,PI-2023-0008,08001145,20231115,Accessibilitat a centre 08001145,ACCESSIBILITAT,FINALITZAT,2023,2024,3,2023-11-15,2023,14141.26,60001.74,10000.29,1
24,9,PI-2023-0008,08001145,20241125,Accessibilitat a centre 08001145,ACCESSIBILITAT,FINALITZAT,2023,2024,4,2024-11-25,2024,17090.92,60001.74,10000.29,1
25,9,PI-2023-0008,08001145,20240117,Accessibilitat a centre 08001145,ACCESSIBILITAT,FINALITZAT,2023,2024,5,2024-01-17,2024,7190.48,60001.74,10000.29,1
26,9,PI-2023-0008,08001145,20230507,Accessibilitat a centre 08001145,ACCESSIBILITAT,FINALITZAT,2023,2024,6,2023-05-07,2023,13346.38,60001.74,10000.29,1
27,10,PI-2023-0009,08044582,20250301,Reforma a centre 08044582,REFORMA,EN_EXECUCIO,2023,2026,1,2025-03-01,2025,4210.23,25000.0,12500.0,1
28,10,PI-2023-0009,08044582,20230811,Reforma a centre 08044582,REFORMA,EN_EXECUCIO,2023,2026,2,2023-08-11,2023,2549.22,25000.0,12500.0,1
29,12,PI-2023-0011,08001066,20250606,Nova construccio a centre 08001066,NOVA_CONSTRUCCIO,FINALITZAT,2023,2024,1,2025-06-06,2025,420087.68,1445249.26,722624.63,1
30,12,PI-2023-0011,08001066,20231016,Nova construccio a centre 08001066,NOVA_CONSTRUCCIO,FINALITZAT,2023,2024,2,2023-10-16,2023,938673.14,1445249.26,722624.63,1
31,13,PI-2026-0012,08013202,20270501,Accessibilitat a centre 08013202,ACCESSIBILITAT,ADJUDICAT,2026,2028,1,2027-05-01,2027,9656.76,184536.21,46134.05,1
32,13,PI-2026-0012,08013202,20280411,Accessibilitat a centre 08013202,ACCESSIBILITAT,ADJUDICAT,2026,2028,2,2028-04-11,2028,715.33,184536.21,46134.05,1
33,13,PI-2026-0012,08013202,20280326,Accessibilitat a centre 08013202,ACCESSIBILITAT,ADJUDICAT,2026,2028,3,2028-03-26,2028,394.29,184536.21,46134.05,1
34,13,PI-2026-0012,08013202,20260815,Accessibilitat a centre 08013202,ACCESSIBILITAT,ADJUDICAT,2026,2028,4,2026-08-15,2026,305.79,184536.21,46134.05,1
35,14,PI-2024-0013,08046384,20250412,Reforma a centre 08046384,REFORMA,FINALITZAT,2024,2027,1,2025-04-12,2025,49516.04,254294.04,42382.34,1
36,14,PI-2024-0013,08046384,20240428,Reforma a centre 08046384,REFORMA,FINALITZAT,2024,2027,2,2024-04-28,2024,16229.55,254294.04,42382.34,1
37,14,PI-2024-0013,08046384,20260531,Reforma a centre 08046384,REFORMA,FINALITZAT,2024,2027,3,2026-05-31,2026,80305.77,254294.04,42382.34,1
38,14,PI-2024-0013,08046384,20250120,Reforma a centre 08046384,REFORMA,FINALITZAT,2024,2027,4,2025-01-20,2025,63442.92,254294.04,42382.34,1
39,14,PI-2024-0013,08046384,20240429,Reforma a centre 08046384,REFORMA,FINALITZAT,2024,2027,5,2024-04-29,2024,12926.96,254294.04,42382.34,1
40,14,PI-2024-0013,08046384,20250811,Reforma a centre 08046384,REFORMA,FINALITZAT,2024,2027,6,2025-08-11,2025,26914.38,254294.04,42382.34,1
41,15,PI-2024-0014,08078956,20240731,Reforma a centre 08078956,REFORMA,EN_EXECUCIO,2024,2026,1,2024-07-31,2024,12382.4,261332.86,43555.48,1
42,15,PI-2024-0014,08078956,20260103,Reforma a centre 08078956,REFORMA,EN_EXECUCIO,2024,2026,2,2026-01-03,2026,24495.62,261332.86,43555.48,1
43,15,PI-2024-0014,08078956,20241225,Reforma a centre 08078956,REFORMA,EN_EXECUCIO,2024,2026,3,2024-12-25,2024,33017.32,261332.86,43555.48,1
44,15,PI-2024-0014,08078956,20250503,Reforma a centre 08078956,REFORMA,EN_EXECUCIO,2024,2026,4,2025-05-03,2025,51181.27,261332.86,43555.48,1
45,15,PI-2024-0014,08078956,20250621,Reforma a centre 08078956,REFORMA,EN_EXECUCIO,2024,2026,5,2025-06-21,2025,10070.16,261332.86,43555.48,1
46,15,PI-2024-0014,08078956,20250112,Reforma a centre 08078956,REFORMA,EN_EXECUCIO,2024,2026,6,2025-01-12,2025,51675.55,261332.86,43555.48,1
47,16,PI-2026-0015,08071950,20280314,Reforma a centre 08071950,REFORMA,FINALITZAT,2026,2029,1,2028-03-14,2028,68869.33,70768.49,70768.49,1
48,17,PI-2025-0016,08065196,20270214,Reforma a centre 08065196,REFORMA,FINALITZAT,2025,2027,1,2027-02-14,2027,124600.24,309234.06,77308.52,1
49,17,PI-2025-0016,08065196,20260829,Reforma a centre 08065196,REFORMA,FINALITZAT,2025,2027,2,2026-08-29,2026,17167.94,309234.06,77308.52,1
50,17,PI-2025-0016,08065196,20260808,Reforma a centre 08065196,REFORMA,FINALITZAT,2025,2027,3,2026-08-08,2026,12900.38,309234.06,77308.52,1
51,17,PI-2025-0016,08065196,20250715,Reforma a centre 08065196,REFORMA,FINALITZAT,2025,2027,4,2025-07-15,2025,150140.93,309234.06,77308.52,1
52,18,PI-2025-0017,08034242,20251216,Accessibilitat a centre 08034242,ACCESSIBILITAT,EN_EXECUCIO,2025,2026,1,2025-12-16,2025,2355.3,25000.0,4166.67,1
53,18,PI-2025-0017,08034242,20251105,Accessibilitat a centre 08034242,ACCESSIBILITAT,EN_EXECUCIO,2025,2026,2,2025-11-05,2025,1582.78,25000.0,4166.67,1
54,18,PI-2025-0017,08034242,20250505,Accessibilitat a centre 08034242,ACCESSIBILITAT,EN_EXECUCIO,2025,2026,3,2025-05-05,2025,3094.09,25000.0,4166.67,1
55,18,PI-2025-0017,08034242,20261222,Accessibilitat a centre 08034242,ACCESSIBILITAT,EN_EXECUCIO,2025,2026,4,2026-12-22,2026,6397.53,25000.0,4166.67,1
56,18,PI-2025-0017,08034242,20250611,Accessibilitat a centre 08034242,ACCESSIBILITAT,EN_EXECUCIO,2025,2026,5,2025-06-11,2025,3345.73,25000.0,4166.67,1
57,18,PI-2025-0017,08034242,20260118,Accessibilitat a centre 08034242,ACCESSIBILITAT,EN_EXECUCIO,2025,2026,6,2026-01-18,2026,2697.96,25000.0,4166.67,1
58,19,PI-2025-0018,08071950,20270205,Eficiencia energetica a centre 08071950,EFICIENCIA_ENERGETICA,ADJUDICAT,2025,2026,1,2027-02-05,2027,11768.59,387244.05,64540.68,1
59,19,PI-2025-0018,08071950,20270608,Eficiencia energetica a centre 08071950,EFICIENCIA_ENERGETICA,ADJUDICAT,2025,2026,2,2027-06-08,2027,4008.05,387244.05,64540.68,1
60,19,PI-2025-0018,08071950,20270317,Eficiencia energetica a centre 08071950,EFICIENCIA_ENERGETICA,ADJUDICAT,2025,2026,3,2027-03-17,2027,1462.68,387244.05,64540.68,1
61,19,PI-2025-0018,08071950,20260418,Eficiencia energetica a centre 08071950,EFICIENCIA_ENERGETICA,ADJUDICAT,2025,2026,4,2026-04-18,2026,2275.83,387244.05,64540.68,1
62,19,PI-2025-0018,08071950,20260129,Eficiencia energetica a centre 08071950,EFICIENCIA_ENERGETICA,ADJUDICAT,2025,2026,5,2026-01-29,2026,426.25,387244.05,64540.68,1
63,19,PI-2025-0018,08071950,20260104,Eficiencia energetica a centre 08071950,EFICIENCIA_ENERGETICA,ADJUDICAT,2025,2026,6,2026-01-04,2026,3293.24,387244.05,64540.68,1
64,20,PI-2023-0019,08049725,20250223,Eficiencia energetica a centre 08049725,EFICIENCIA_ENERGETICA,FINALITZAT,2023,2024,1,2025-02-23,2025,133977.36,250869.41,50173.88,1
65,20,PI-2023-0019,08049725,20230916,Eficiencia energetica a centre 08049725,EFICIENCIA_ENERGETICA,FINALITZAT,2023,2024,2,2023-09-16,2023,5020.51,250869.41,50173.88,1
66,20,PI-2023-0019,08049725,20241031,Eficiencia energetica a centre 08049725,EFICIENCIA_ENERGETICA,FINALITZAT,2023,2024,3,2024-10-31,2024,4326.84,250869.41,50173.88,1
67,20,PI-2023-0019,08049725,20230506,Eficiencia energetica a centre 08049725,EFICIENCIA_ENERGETICA,FINALITZAT,2023,2024,4,2023-05-06,2023,27071.11,250869.41,50173.88,1
68,20,PI-2023-0019,08049725,20240211,Eficiencia energetica a centre 08049725,EFICIENCIA_ENERGETICA,FINALITZAT,2023,2024,5,2024-02-11,2024,65820.4,250869.41,50173.88,1
69,22,PI-2023-0021,08054991,20240423,Reforma a centre 08054991,REFORMA,FINALITZAT,2023,2026,1,2024-04-23,2024,53451.92,88682.22,44341.11,1
70,22,PI-2023-0021,08054991,20250426,Reforma a centre 08054991,REFORMA,FINALITZAT,2023,2026,2,2025-04-26,2025,30990.14,88682.22,44341.11,1
71,23,PI-2024-0022,08050922,20240223,Eficiencia energetica a centre 08050922,EFICIENCIA_ENERGETICA,EN_EXECUCIO,2024,2025,1,2024-02-23,2024,144005.34,276001.91,276001.91,1
