data,familia,prediccio,model_nom,model_versio,generat_el
2026-09-01,CLIMATITZACIO,9.75,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-02,CLIMATITZACIO,11.57,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-03,CLIMATITZACIO,11.88,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-04,CLIMATITZACIO,11.73,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-05,CLIMATITZACIO,3.4,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-06,CLIMATITZACIO,2.22,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-07,CLIMATITZACIO,10.77,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-08,CLIMATITZACIO,12.42,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-09,CLIMATITZACIO,11.2,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-10,CLIMATITZACIO,11.83,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-11,CLIMATITZACIO,11.36,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-12,CLIMATITZACIO,1.26,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-13,CLIMATITZACIO,1.0,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-14,CLIMATITZACIO,12.06,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-15,CLIMATITZACIO,12.6,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-16,CLIMATITZACIO,11.12,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-17,CLIMATITZACIO,11.31,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-18,CLIMATITZACIO,10.91,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-19,CLIMATITZACIO,1.24,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-20,CLIMATITZACIO,0.98,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-21,CLIMATITZACIO,11.23,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-22,CLIMATITZACIO,11.46,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-23,CLIMATITZACIO,10.98,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-24,CLIMATITZACIO,12.71,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-25,CLIMATITZACIO,11.66,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-26,CLIMATITZACIO,0.83,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-27,CLIMATITZACIO,0.74,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-28,CLIMATITZACIO,12.6,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-29,CLIMATITZACIO,13.07,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-30,CLIMATITZACIO,13.71,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-01,ELECTRICITAT,9.27,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-02,ELECTRICITAT,8.41,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-03,ELECTRICITAT,8.82,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-04,ELECTRICITAT,7.62,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-05,ELECTRICITAT,1.65,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-06,ELECTRICITAT,1.65,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-07,ELECTRICITAT,11.98,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-08,ELECTRICITAT,9.52,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-09,ELECTRICITAT,10.62,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-10,ELECTRICITAT,10.24,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-11,ELECTRICITAT,9.42,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-12,ELECTRICITAT,2.21,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-13,ELECTRICITAT,2.26,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-14,ELECTRICITAT,13.54,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-15,ELECTRICITAT,10.96,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-16,ELECTRICITAT,11.94,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-17,ELECTRICITAT,12.13,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-18,ELECTRICITAT,13.55,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-19,ELECTRICITAT,1.29,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-20,ELECTRICITAT,1.01,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-21,ELECTRICITAT,10.25,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-22,ELECTRICITAT,11.46,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-23,ELECTRICITAT,10.98,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-24,ELECTRICITAT,11.37,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-25,ELECTRICITAT,12.11,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-26,ELECTRICITAT,1.3,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-27,ELECTRICITAT,1.39,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-28,ELECTRICITAT,10.52,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-29,ELECTRICITAT,10.44,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-30,ELECTRICITAT,10.75,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-01,ESTRUCTURA,4.94,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-02,ESTRUCTURA,5.24,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-03,ESTRUCTURA,3.87,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-04,ESTRUCTURA,4.04,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-05,ESTRUCTURA,0.66,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-06,ESTRUCTURA,0.53,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-07,ESTRUCTURA,3.68,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-08,ESTRUCTURA,4.59,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-09,ESTRUCTURA,3.47,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-10,ESTRUCTURA,3.23,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-11,ESTRUCTURA,2.99,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-12,ESTRUCTURA,0.16,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-13,ESTRUCTURA,0.42,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-14,ESTRUCTURA,3.28,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-15,ESTRUCTURA,3.2,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-16,ESTRUCTURA,3.24,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-17,ESTRUCTURA,3.67,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-18,ESTRUCTURA,4.21,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-19,ESTRUCTURA,0.0,xgboost,1,2026-08-27 19:27:01.410987+00:00
